timestamp,path_id,bandwidth_gbps,is_degraded
1781253814.558,35121,7.20,1
1781253814.566,35121,19.10,0
1781253814.586,35121,7.30,1
1781253815.614,20176,17.40,0
1781253815.625,20176,14.10,0
1781253815.633,20176,19.00,0
1781253815.655,20176,6.60,1
1781253816.685,20176,13.70,1
1781253816.695,20176,15.50,0
1781253816.715,20176,7.30,1
1781253816.725,20176,14.70,0
1781253816.739,20176,11.30,1
1781253816.747,20176,19.80,0
1781253816.759,20176,12.90,1
1781253816.771,20176,12.20,1
1781253818.833,20176,16.30,0
1781253818.844,20176,13.80,1
1781253818.854,20176,16.30,0
1781253819.873,20176,15.40,0
1781253819.890,20176,8.30,1
1781253819.904,20176,10.80,1
1781253819.923,20176,7.70,1
1781253819.936,20176,16.40,0
1781253821.991,20176,19.80,0
1781253822.003,20176,12.80,1
1781253822.016,20176,11.50,1
1781253822.031,20176,9.70,1
1781253822.045,20176,11.20,1
1781253822.055,20176,15.10,0
1781253822.066,20176,14.30,0
1781253824.123,35121,13.80,1
1781253824.139,35121,9.00,1
1781253825.168,20176,13.30,1
1781253825.177,20176,16.90,0
1781253825.189,20176,13.10,1
1781253825.197,20176,19.60,0
1781253825.217,20176,7.50,1
1781253825.226,20176,17.10,0
1781253827.281,35121,12.80,1
1781253827.289,35121,19.90,0
1781253827.302,35121,11.20,1
1781253827.321,35121,17.90,0
1781253827.332,35121,13.60,1
1781253828.351,35121,17.10,0
1781253828.363,35121,12.10,1
1781253828.372,35121,19.20,0
1781253828.384,35121,12.10,1
1781253828.399,35121,11.90,1
1781253828.414,35121,9.60,1
1781253828.428,35121,11.10,1
1781253828.442,35121,10.50,1
1781253828.458,35121,9.30,1
1781253829.485,35121,16.80,0
1781253829.498,35121,11.20,1
1781253829.516,35121,8.30,1
1781253830.545,20176,19.80,0
1781253830.557,20176,12.30,1
1781253830.566,20176,18.60,0
1781253830.583,20176,8.30,1
1781253830.595,20176,13.00,1
1781253830.609,20176,10.70,1
